id,date,open_price,high_price,low_price,close_price,adj_close,volume
189,"Aug 25, 2023",11.523,12.535,11.5,12.144,12.144,"1,304,483"
190,"Aug 24, 2023",12.351,12.512,11.201,11.822,11.822,"1,220,783"
191,"Aug 23, 2023",11.73,12.65,11.73,12.282,12.282,"1,087,835"
192,"Aug 22, 2023",10.971,11.891,10.948,11.845,11.845,"1,440,500"
193,"Aug 21, 2023",10.097,11.178,9.936,10.971,10.971,"904,843"
194,"Aug 18, 2023",9.66,10.235,9.66,10.166,10.166,"709,670"
195,"Aug 17, 2023",10.189,10.58,9.936,10.166,10.166,"942,800"
196,"Aug 16, 2023",10.695,10.764,9.89,10.051,10.051,"1,611,091"
197,"Aug 15, 2023",12.052,12.121,10.81,11.132,11.132,"1,715,191"
198,"Aug 14, 2023",11.983,12.19,11.04,11.707,11.707,"1,661,887"
199,"Aug 11, 2023",11.96,12.19,11.5,11.845,11.845,"1,041,357"
200,"Aug 10, 2023",12.351,12.351,11.707,11.983,11.983,"1,028,639"
201,"Aug 9, 2023",12.65,12.834,11.661,12.213,12.213,"1,226,913"
202,"Aug 8, 2023",12.604,13.11,12.535,12.811,12.811,"782,248"
203,"Aug 7, 2023",13.754,13.754,12.075,13.087,13.087,"2,114,570"
204,"Aug 4, 2023",15.18,15.203,13.616,13.869,13.869,"1,361,757"
205,"Aug 3, 2023",14.168,15.111,13.777,14.904,14.904,"1,039,409"
206,"Aug 2, 2023",14.49,14.996,13.846,14.467,14.467,"972,504"
207,"Aug 1, 2023",15.134,15.525,14.283,15.088,15.088,"1,539,548"
208,"Jul 31, 2023",12.88,15.042,12.788,14.835,14.835,"2,896,509"
209,"Jul 28, 2023",12.282,13.248,11.96,12.466,12.466,"1,630,439"
210,"Jul 27, 2023",13.57,13.593,11.96,12.006,12.006,"1,538,878"
211,"Jul 26, 2023",12.765,13.455,12.558,13.294,13.294,"1,308,387"
212,"Jul 25, 2023",14.214,14.444,12.535,12.581,12.581,"1,820,661"
213,"Jul 24, 2023",14.72,14.812,13.524,14.007,14.007,"1,445,687"
214,"Jul 21, 2023",15.824,16.054,14.145,14.812,14.812,"1,767,317"
215,"Jul 20, 2023",16.905,17.204,14.973,15.295,15.295,"1,968,100"
216,"Jul 19, 2023",17.25,19.504,16.123,16.514,16.514,"4,344,713"
217,"Jul 18, 2023",16.123,18.239,15.64,16.1,16.1,"3,529,026"
218,"Jul 17, 2023",15.525,16.836,14.536,15.985,15.985,"2,764,874"
219,"Jul 14, 2023",13.225,16.974,12.949,16.261,16.261,"8,235,339"
220,"Jul 13, 2023",12.65,12.88,12.213,12.765,12.765,"1,148,152"
221,"Jul 12, 2023",12.627,12.995,11.983,12.65,12.65,"1,470,461"
222,"Jul 11, 2023",11.707,12.029,11.546,11.891,11.891,"1,549,439"
223,"Jul 10, 2023",14.697,14.72,11.408,11.5,11.5,"4,786,665"
224,"Jul 7, 2023",12.052,12.926,11.776,12.719,12.719,"867,965"
225,"Jul 6, 2023",12.374,12.397,11.5,11.868,11.868,"806,987"
226,"Jul 5, 2023",12.65,12.88,12.374,12.65,12.65,"951,604"
227,"Jul 3, 2023",11.638,12.42,11.592,12.42,12.42,"1,286,748"
228,"Jun 30, 2023",10.971,11.339,10.787,11.017,11.017,"935,743"
229,"Jun 29, 2023",10.396,11.477,9.982,10.787,10.787,"1,522,378"
230,"Jun 28, 2023",9.89,10.212,9.66,9.982,9.982,"863,957"
231,"Jun 27, 2023",10.649,10.718,9.522,9.775,9.775,"1,318,304"
232,"Jun 26, 2023",11.73,11.73,10.396,10.396,10.396,"1,203,822"
233,"Jun 23, 2023",11.96,12.466,11.362,11.5,11.5,"2,695,691"
234,"Jun 22, 2023",12.19,12.489,11.845,11.914,11.914,"961,639"
235,"Jun 21, 2023",13.11,13.225,11.73,12.167,12.167,"2,047,813"
236,"Jun 20, 2023",15.41,15.755,12.857,12.903,12.903,"1,764,296"
237,"Jun 16, 2023",16.284,17.25,15.18,15.18,15.18,"2,246,243"
238,"Jun 15, 2023",13.11,16.445,12.995,15.226,15.226,"2,855,509"
239,"Jun 14, 2023",12.995,13.754,12.903,12.949,12.949,"686,687"
240,"Jun 13, 2023",12.259,12.949,12.029,12.903,12.903,"949,313"
241,"Jun 12, 2023",12.236,12.765,12.075,12.374,12.374,"679,957"
242,"Jun 9, 2023",12.65,12.742,12.052,12.052,12.052,"648,696"
243,"Jun 8, 2023",13.57,13.731,12.029,12.374,12.374,"1,050,552"
244,"Jun 7, 2023",13.11,13.915,13.11,13.386,13.386,"829,048"
245,"Jun 6, 2023",12.834,13.11,12.581,12.972,12.972,"737,491"
246,"Jun 5, 2023",12.88,13.34,12.65,12.834,12.834,"894,817"
247,"Jun 2, 2023",12.88,12.88,12.443,12.65,12.65,"415,561"
248,"Jun 1, 2023",12.65,12.834,12.535,12.604,12.604,"510,513"
249,"May 31, 2023",13.202,13.225,12.535,12.788,12.788,"620,200"
250,"May 30, 2023",13.823,13.892,12.535,13.202,13.202,"945,326"
251,"May 26, 2023",13.34,14.536,13.202,13.616,13.616,"603,843"
252,"May 25, 2023",14.237,14.26,12.995,13.156,13.156,"650,409"
